"id","guild","title","date","realm","region","faction"
BqFkTnZV9tYAc6fj,Posto Ipiranga,ToGC 25 split 3 - week 10,2023-08-23 23:50:41.860,faerlina,us,horde
KRGWgpr3fw9bQtJd,PAF,Toc 10 grupo 4,2023-08-24 02:12:25.134,benediction,us,alliance
ANDHjxhzPCgrF1Rf,PAF,Toc 10 grupo 3,2023-08-24 01:24:35.554,benediction,us,alliance
drPwyzKD1MQtn9qW,PAF,Raid  10 men 1,2023-08-23 23:48:39.441,benediction,us,alliance
AWR8ZXqQBNjpTrY3,CangaceirøS,TOC 25,2023-08-23 01:54:14.261,faerlina,us,horde
"2XDa6hBcGPdkxHT8",Toxic Behavior,TOGC 10,2023-08-23 23:38:19.850,benediction,us,alliance
bm7YLh3ZytrPzvdA,CORE B,Trial of the Crusader,2023-08-23 23:31:45.601,faerlina,us,horde
F23ZmJXfncbkvHhx,Confia,ToGC+Alga25,2023-08-23 23:31:33.529,faerlina,us,horde
ZvWthNm1yVxCJDj2,Teleton,Trial of the Crusader,2023-08-24 00:31:44.057,faerlina,us,horde
NRgnmB8YKPr9JHTZ,Teleton,Trial of the Crusader,2023-08-23 22:56:52.282,faerlina,us,horde
cLfg1HVmXvAxjJkR,Long Live RocknRoll,Raid 1 split,2023-08-24 01:24:22.507,faerlina,us,horde
"3kvhtfcx6FBdTVmj",Long Live RocknRoll,Raid 1,2023-08-23 23:20:48.729,faerlina,us,horde
TNRjcnXwgLVFACtm,P R O J E T O,ToGC 25m dos Alts,2023-08-23 23:50:56.112,faerlina,us,horde
xRZHXk2MtbhTf4DW,P R O J E T O,TOGC25 H ALT RUN,2023-08-23 22:44:56.551,faerlina,us,horde
CftA12r7VgqFdPvY,É Foda Bê,Trial of the Crusader,2023-08-25 00:13:17.822,benediction,us,alliance
"1cg93qTBnMAJfNGY",Posto Ipiranga,Week 10 ToGC 10m - Multiple,2023-08-25 00:44:17.516,faerlina,us,horde
DKRqx4PhbcapYNdf,PAF,Trial of the Crusader,2023-08-24 23:28:19.998,benediction,us,alliance
QtrfXdgAjMFwq9Zh,CangaceirøS,TOC10VAEL_24082023,2023-08-25 00:15:17.075,faerlina,us,horde
m4KWhg7zdFM3GAnT,CangaceirøS,TOC10NAZA,2023-08-24 23:57:14.880,faerlina,us,horde
XJW7zFLnAMNRyjkv,Popcorn Lil Sacks,RAID (CORE3) - 24/08,2023-08-25 00:08:04.723,faerlina,us,horde
yfrW29VxK6XndZbY,Popcorn Lil Sacks,RAID (CORE2) - 24/08,2023-08-24 23:00:11.745,faerlina,us,horde
TgJfNj6G7Pc4wmaQ,Popcorn Lil Sacks,Trial of the Crusader,2023-08-24 22:49:51.037,faerlina,us,horde
wjMRt8gPkCpcQzfJ,Return of the Empire,CORE 2,2023-08-24 22:47:25.431,faerlina,us,horde
Ab3Yatv8VgKFrqDM,Toxic Behavior,togc 25 dos alts e trials,2023-08-24 23:56:34.635,benediction,us,alliance
"8j46p31DMvAGQLkq",CORE B,Trial of the Crusader,2023-08-25 00:48:41.816,faerlina,us,horde
CWAMDyqxGXn3fQ9k,Teleton,TOGC 25 HC 24-08,2023-08-24 22:54:16.937,faerlina,us,horde
AYgbjHLQWZzGvRd4,Teleton,Trial of the Crusader,2023-08-24 23:14:43.101,faerlina,us,horde
KHh87Jw4VPYG9jdM,Long Live RocknRoll,Toc Raid n sei,2023-08-25 00:29:24.579,faerlina,us,horde
fMh7cCTKbQn9m4aL,P R O J E T O,ToGC 10m Alts,2023-08-25 00:37:48.768,faerlina,us,horde
mzjhyXKJdL12aw9r,P R O J E T O,ToGC 10m,2023-08-24 23:26:28.118,faerlina,us,horde
tdmFQRpYzADqC8va,Return of the Empire,Trial of the Crusader,2023-08-26 02:05:43.249,faerlina,us,horde
DLMGwcC7kzFtX2H9,CORE B,Trial of the Crusader,2023-08-26 23:11:57.695,faerlina,us,horde
XMDghz1VALvKGNB6,U P D A T I N G,TOC 25 - 26/06,2023-08-26 17:05:06.806,faerlina,us,horde
X2ACKQ8JYzHNy9FD,U P D A T I N G,TOC 25 - 26/06,2023-08-26 17:05:06.806,faerlina,us,horde
"7RG3gLmkKFz6WTZN",U P D A T I N G,TOC 25 - 26/06,2023-08-26 17:05:06.806,faerlina,us,horde
"6qKQvmycgDFbrZYj",U P D A T I N G,TOC 25 - 26/06,2023-08-26 16:51:50.612,faerlina,us,horde
VZ2hX8Rxrjwkyp6F,U P D A T I N G,TOC 25 - 26/06,2023-08-26 16:51:50.612,faerlina,us,horde
z9bxWpgFNV2ktc6y,U P D A T I N G,TOC 25 - 26/06,2023-08-26 16:51:50.612,faerlina,us,horde
T8B6YxrXyCj3dA2m,U P D A T I N G,TOC 25 - 26/06,2023-08-26 16:52:43.422,faerlina,us,horde
qhL6ZGwBgVYnrtya,Teleton,Trial of the Crusader,2023-08-26 19:34:46.378,faerlina,us,horde
jNFntvqmKLABp3cg,Teleton,Trial of the Crusader,2023-08-25 22:56:03.250,faerlina,us,horde
CyjpYGTg1JcPNLMB,É Foda Bê,Trial of the Crusader,2023-08-27 15:25:52.078,benediction,us,alliance
x2VPvdTD7wbXcFBz,PAF,Toc 25 + Ulduar skip,2023-08-27 20:23:13.368,benediction,us,alliance
RC4F2vNh18GcWnAg,PAF,Toc 25 raid Y,2023-08-27 20:23:13.368,benediction,us,alliance
N3hBv9T4xLyDfnqp,PAF,Raid X,2023-08-27 18:57:19.322,benediction,us,alliance
FWvRMpaG16Vm4dAf,PAF,Toc 25 raid X,2023-08-27 18:54:02.389,benediction,us,alliance
rxVacX8bfHmFjNY4,U P D A T I N G,Trial of the Crusader,2023-08-27 15:01:49.251,faerlina,us,horde
MkgRbqcd1PwpnjFB,Teleton,Ulduar,2023-08-27 21:02:48.930,faerlina,us,horde
hMqCbFmYgGJ7LvfW,Teleton,Ulduar 25n,2023-08-27 21:28:30.010,faerlina,us,horde
fTKZrNV2JWmjHAGa,Teleton,Ulduar 25n,2023-08-27 21:27:58.399,faerlina,us,horde
TVQKzdb1nZgRmyW7,Teleton,Ulduar 25n,2023-08-27 21:24:16.789,faerlina,us,horde
RqyaY3j6VJHWvr2f,Teleton,Ulduar 25n,2023-08-27 21:22:38.932,faerlina,us,horde
xV8rtT7amvHJ2DBP,Teleton,Ulduar 25n,2023-08-27 20:34:47.504,faerlina,us,horde
"2DbLvXkWqjN8FM3V",Teleton,Unknown Zone,2023-08-27 20:33:46.015,faerlina,us,horde
yh7qbPCLQFfJcTG6,Teleton,Unknown Zone,2023-08-27 20:11:43.201,faerlina,us,horde
F9BfRdqJQw21AKz6,P R O J E T O,ToGC 10m de alts,2023-08-27 20:40:20.834,faerlina,us,horde
MVmpja976AQq1L4W,Posto Ipiranga,"10man Ulduar do crime, praticamente uma quadrilha",2023-08-29 00:17:29.809,faerlina,us,horde
